허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
비발디푸드트럭,99,강원특별자치도,홍천군,강원특별자치도 홍천군 서면 한치골길 262 (대명비발디파크 셔틀버스주차장),,,,1.0,월 매출액의 21,2016-05-27,2024-05-31,비수기+우천시,10:00,17:00,10:00,22:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,,강원특별자치도 홍천군보건소,033-430-2654,2023-10-05,4251000,강원특별자치도 홍천군
백로트레일러,99,강원특별자치도,홍천군,강원특별자치도 홍천군 서면 한치골길 262 (오션월드 실내 입구),,,,1.0,월 매출액의 40,2021-01-01,2024-12-31,주1회 자율적 휴무,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,13:30,18:30,,강원특별자치도 홍천군보건소,033-430-2654,2023-10-05,4251000,강원특별자치도 홍천군
전주지역자활센터청년사업콩닥콩닥푸드트럭,3,전북특별자치도,전주시 완산구,"전북특별자치도 전주시 완산구 모악산자락길 22, 완산생활체육공원 내 푸드트럭 존",,,,,월35800,2020-09-01,2022-12-13,연중무휴,11:00,17:00,11:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,전주시시설관리공단,063-239-2569,2025-04-28,4641000,전북특별자치도 전주시
영남이공대학교 기계공학관 맞은편 공터,6,대구광역시,남구,대구광역시 남구 현충로 170,대구광역시 남구 대명동 317-1,35.84767574,128.5841726,0.0,0,2018-08-27,2018-12-15,연중무휴,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,없음,대구광역시 남구청,053-664-2776,2025-05-02,3440000,대구광역시 남구
대덕문화전당,8,대구광역시,남구,"대구광역시 남구 앞산순환로 478, 대덕문화전당",대구광역시 남구 대명동 산 201-4 대덕문화전당,35.83129333,128.5769704,0.0,0,2019-05-05,2019-05-05,연중무휴,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,없음,대구광역시 남구청,053-664-2774,2025-05-02,3440000,대구광역시 남구
이월드,01,대구광역시,달서구,대구광역시 달서구 두류공원로 200 (두류동),,,,,매출액의 20퍼센트,2019-01-02,2024-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
이월드,01,대구광역시,달서구,대구광역시 달서구 두류공원로 200 (두류동),,,,,매출액의 20퍼센트,2023-12-31,2025-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
이월드,01,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 1층 (두류동)",,,,,매출액의 20퍼센트,2023-08-11,2025-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
이월드,01,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 1층 (두류동)",,,,,매출액의 20퍼센트,2023-12-28,2025-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
이월드,01,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 1층 (두류동)",,,,,매출액의 20퍼센트,2023-12-27,2025-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
이월드,01,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 1층 (두류동)",,,,,매출액의 20퍼센트,2024-01-01,2025-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
이월드,01,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 1층 (두류동)",,,,,매출액의 20퍼센트,2024-08-09,2025-12-31,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
이월드,01,대구광역시,달서구,"대구광역시 달서구 두류공원로 200, 1층 (두류동)",,,,,매출액의 20퍼센트,2024-12-19,2025-12-20,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구청,053-667-3762,2025-04-23,3470000,대구광역시 달서구
엑스포시민광장,5,대전광역시,서구,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396,36.36646857,127.3880154,5.0,0,2017-12-15,2018-02-18,연중무휴,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,,대전광역시 서구 위생과,042-288-3334,2025-05-09,3660000,대전광역시 서구
여주종합운동장,3,경기도,여주시,경기도 여주시 영릉로 123,경기도 여주시 월송동 1,37.29303754,127.6229022,1.0,0,2016-04-01,2019-03-31,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 여주시청,031-887-2654,2023-11-15,5700000,경기도 여주시
여주프리미엄아울렛,99,경기도,여주시,경기도 여주시 명품로 360,경기도 여주시 상거동 460,37.24594805,127.6123848,10.0,0,2018-06-01,2018-08-31,계약일,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 여주시청,031-887-2654,2023-11-15,5700000,경기도 여주시
국가하천(남한강)하천구역,5,경기도,여주시,,경기도 여주시 현암동 633-5,37.31352805,127.6297161,1.0,0,2022-04-25,2027-05-31,토+일,00:00,23:59,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 여주시청,031-887-2654,2023-11-15,5700000,경기도 여주시
가남졸음쉼터,99,경기도,여주시,,경기도 여주시 가남읍 삼승리 143-1,37.1690741,127.6265365,1.0,0,2022-08-30,2023-09-06,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 여주시청,031-887-2654,2023-11-15,5700000,경기도 여주시
부천종합운동장,99,경기도,부천시 원미구,경기도 부천시 원미구 소사로 482,,37.50256527,126.7990254,,연 417230원,2022-11-01,2027-10-31,경기 등 행사가 없을 경우(운영일: 경기 등 행사가 있을 경우),10:00,19:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,부천도시공사,032-340-0871,2025-02-07,3860000,경기도 부천시
